wavelength,polarizability
630.1,-413.394
630.2,-413.689
630.3,-413.984
630.4,-414.279
630.5,-414.574
630.6,-414.87
630.7,-415.166
630.8,-415.462
630.9,-415.759
631,-416.055
631.1,-416.352
631.2,-416.65
631.3,-416.947
631.4,-417.245
631.5,-417.543
631.6,-417.841
631.7,-418.14
631.8,-418.439
631.9,-418.738
632,-419.037
632.1,-419.337
632.2,-419.636
632.3,-419.937
632.4,-420.237
632.5,-420.538
632.6,-420.839
632.7,-421.14
632.8,-421.441
632.9,-421.743
633,-422.045
633.1,-422.347
633.2,-422.65
633.3,-422.953
633.4,-423.256
633.5,-423.559
633.6,-423.863
633.7,-424.167
633.8,-424.471
633.9,-424.775
634,-425.08
634.1,-425.385
634.2,-425.69
634.3,-425.996
634.4,-426.301
634.5,-426.608
634.6,-426.914
634.7,-427.22
634.8,-427.527
634.9,-427.835
635,-428.142
635.1,-428.45
635.2,-428.758
635.3,-429.066
635.4,-429.374
635.5,-429.683
635.6,-429.992
635.7,-430.302
635.8,-430.611
635.9,-430.921
636,-431.232
636.1,-431.542
636.2,-431.853
636.3,-432.164
636.4,-432.475
636.5,-432.787
636.6,-433.099
636.7,-433.411
636.8,-433.723
636.9,-434.036
637,-434.349
637.1,-434.662
637.2,-434.976
637.3,-435.29
637.4,-435.604
637.5,-435.918
637.6,-436.233
637.7,-436.548
637.8,-436.863
637.9,-437.179
638,-437.495
638.1,-437.811
638.2,-438.127
638.3,-438.444
638.4,-438.761
638.5,-439.078
638.6,-439.396
638.7,-439.714
638.8,-440.032
638.9,-440.351
639,-440.669
639.1,-440.988
639.2,-441.308
639.3,-441.627
639.4,-441.947
639.5,-442.267
639.6,-442.588
639.7,-442.909
639.8,-443.23
639.9,-443.551
640,-443.873
640.1,-444.195
640.2,-444.517
640.3,-444.84
640.4,-445.162
640.5,-445.486
640.6,-445.809
640.7,-446.133
640.8,-446.457
640.9,-446.781
641,-447.106
641.1,-447.431
641.2,-447.756
641.3,-448.081
641.4,-448.407
641.5,-448.733
641.6,-449.06
641.7,-449.387
641.8,-449.714
641.9,-450.041
642,-450.369
642.1,-450.697
642.2,-451.025
642.3,-451.353
642.4,-451.682
642.5,-452.011
642.6,-452.341
642.7,-452.671
642.8,-453.001
642.9,-453.331
643,-453.662
643.1,-453.993
643.2,-454.324
643.3,-454.656
643.4,-454.988
643.5,-455.32
643.6,-455.652
643.7,-455.985
643.8,-456.318
643.9,-456.652
644,-456.986
644.1,-457.32
644.2,-457.654
644.3,-457.989
644.4,-458.324
644.5,-458.659
644.6,-458.995
644.7,-459.331
644.8,-459.667
644.9,-460.004
645,-460.34
645.1,-460.678
645.2,-461.015
645.3,-461.353
645.4,-461.691
645.5,-462.03
645.6,-462.369
645.7,-462.708
645.8,-463.047
645.9,-463.387
646,-463.727
646.1,-464.067
646.2,-464.408
646.3,-464.749
646.4,-465.09
646.5,-465.432
646.6,-465.774
646.7,-466.117
646.8,-466.459
646.9,-466.802
647,-467.145
647.1,-467.489
647.2,-467.833
647.3,-468.177
647.4,-468.522
647.5,-468.867
647.6,-469.212
647.7,-469.558
647.8,-469.904
647.9,-470.25
648,-470.596
648.1,-470.943
648.2,-471.291
648.3,-471.638
648.4,-471.986
648.5,-472.334
648.6,-472.683
648.7,-473.032
648.8,-473.381
648.9,-473.73
649,-474.08
649.1,-474.43
649.2,-474.781
649.3,-475.132
649.4,-475.483
649.5,-475.835
649.6,-476.187
649.7,-476.539
